,composite,nowcast_prob,lead_prob
1989-01-31,0.6325651918030922,0.011272151748351875,0.10544752163289428
1989-02-28,0.4284113100718316,0.01637507470131233,0.12277328402552651
1989-03-31,0.3617814592396164,0.018300594842423395,0.1337045675888433
1989-04-30,0.29066560753754334,0.020885019981948916,0.13394155242016975
1989-05-31,0.2368498440286244,0.02278960802806249,0.14281235533553238
1989-06-30,0.11765129852184332,0.027263503006658328,0.17301877399275506
1989-07-31,0.05447900308320151,0.030555271267904145,0.1697446197873001
1989-08-31,0.15114086510368693,0.02600489247842797,0.16182460245684294
1989-09-30,0.06303470812288964,0.031212228676784453,0.13754886654040033
1989-10-31,-0.04275063941670864,0.03706990705558626,0.14434045242544807
1989-11-30,-0.07117803597413176,0.03809084573699528,0.1631585956572279
1989-12-31,-0.12458895516457563,0.04172778375179538,0.16030597764178284
1990-01-31,-0.17082548084952065,0.046765598695889955,0.12492656370725796
1990-02-28,-0.06558169902284962,0.04012846033088228,0.11059029027633199
1990-03-31,0.009919173256547013,0.03516188278829675,0.11508023518485422
1990-04-30,-0.09743982971046153,0.043596134443229594,0.08915934344620874
1990-05-31,-0.015546112531552848,0.03812802057876192,0.08870113087057052
1990-06-30,0.04262880508513078,0.033552488417633725,0.10872026681209501
1990-07-31,0.00873880548618657,0.03596430740680695,0.10034460550325275
1990-08-31,-0.21978987078743112,0.05477999372443308,0.06862734324971587
1990-09-30,-0.2981578595902442,0.06329789954445961,0.05567894539206584
1990-10-31,-0.4733697647762368,0.08194735123665692,0.054469265403011426
1990-11-30,-0.6012370990731486,0.09585659730444068,0.0661059921477535
1990-12-31,-0.6823686601065054,0.10710329883968522,0.06473781416963231
1991-01-31,-0.8942052632217163,0.14674917791709152,0.038756427127765426
1991-02-28,-0.9568637493611268,0.1587740526051713,0.03669694455688027
1991-03-31,-0.9625158605632848,0.1633999811951748,0.027760487975082477
1991-04-30,-0.8168002702307776,0.13964366432012654,0.022590304871027794
1991-05-31,-0.7869658402986949,0.13714917760822004,0.017794466982813572
1991-06-30,-0.7364968596285651,0.12993265046005004,0.0159428029714678
1991-07-31,-0.6233576254960924,0.11237063366970101,0.016143496459643022
1991-08-31,-0.575481890948177,0.10437889727659905,0.018427860679551114
1991-09-30,-0.4570276002935502,0.087806798244278,0.02112282310849027
1991-10-31,-0.341365908438076,0.07529667174983726,0.01881703764424859
1991-11-30,-0.27826728760505176,0.07109168171223848,0.012773443573329268
1991-12-31,-0.2538450755287341,0.06981516998866827,0.010390421430655302
1992-01-31,-0.030327964924851025,0.05083143426086109,0.007949725441478577
1992-02-29,0.0710068126060788,0.04449216344285416,0.005730927670871227
1992-03-31,0.2343345398489878,0.03398972000959526,0.005616982434341741
1992-04-30,0.19300895863301987,0.03745744335422084,0.004124360343303004
1992-05-31,0.2127905470550026,0.0363674745389454,0.003955557631388743
1992-06-30,0.1636445062790226,0.03878032604340291,0.004855277842869712
1992-07-31,0.1694346676577907,0.03862018771922634,0.004559979499893066
1992-08-31,0.14079513414527137,0.03968642467175002,0.0057399026928234695
1992-09-30,0.10132128903507764,0.04263170492186309,0.00531570940978362
1992-10-31,0.13364647699779897,0.04139615443581514,0.004044646663332041
1992-11-30,0.24986060045781172,0.034136566471287676,0.003985206787715836
1992-12-31,0.5278328207054163,0.020369801715086858,0.005101269830276377
1993-01-31,0.45601901044666215,0.023379051668524137,0.004779377321598068
1993-02-28,0.5347609837920253,0.0195740870472251,0.006682300417982566
1993-03-31,0.32514222234961554,0.02755624620365303,0.0097129278585005
1993-04-30,0.4654128458653158,0.021619136420690004,0.008840524070033193
1993-05-31,0.3566835200839521,0.026216636787065758,0.00915079123925774
1993-06-30,0.44160527533089927,0.02196561432526033,0.011500361467399847
1993-07-31,0.4323854172151355,0.0219951609347477,0.013277565011329063
1993-08-31,0.541839516346843,0.01770248099245591,0.014998818606894112
1993-09-30,0.5614973926878697,0.016538651363376802,0.019479829298930426
1993-10-31,0.6056316002720514,0.01497630726624901,0.0219178747267984
1993-11-30,0.627249688747785,0.014950185941183369,0.01573863362194485
1993-12-31,0.7622159057499428,0.011618628167114732,0.014026054077558569
1994-01-31,0.7181943806480064,0.012786393632236282,0.013099937908134665
