,CCSA,ICSA,JTSJOL,MANEMP,PAYEMS,TEMPHELPS,UNRATE,AWHMAN,TCU,NEWORDER,DGORDER,IPMAN,INDPRO,UMCSENT,DSPIC96,W875RX1,CMRMTSPL,PCEC96,RSAFS,PERMIT,TTLCONS,HOUST,HSN1F,BAA10Y,NFCI,STLFSI4,BAMLH0A0HYM2,VIXCLS,T10Y2Y,T10Y3M
1971-06-30,-0.08145769426664215,0.09087732667390054,,-1.0765837243369747,-0.516547183819567,,-0.7086465914410419,0.11479971625499681,0.0731404991129009,,,,-0.20563055630949054,,1.3428142098137186,-0.1832983333850416,0.5064658843721208,,,1.8538694322480802,,2.0121164266581903,1.5191546218724654,,-1.1708532612072482,,,,,
1971-07-31,-0.024570364879365602,0.06920927666996432,,-1.0177085558262415,-0.49359296149197884,,-0.7086465914410419,-0.04965942604266322,-0.03594386739435489,,,,-0.3225230656550561,,0.2382710025247671,-0.34491264956313183,0.19214704269050228,,,2.406663215510337,,1.6019149690862795,2.192905907155893,,-1.0597581127883065,,,,,
1971-08-31,-0.022704226219961758,-0.03849578077215108,,-0.8874267592219013,-0.3849805923431986,,-0.7086465914410419,-0.04965942604266322,-0.20247173189742035,,,,-0.4102384669882555,-0.11563876284705915,0.2502325936556879,-0.27136391347755745,0.35880241751787645,,,1.8453625610853686,,2.376608801152773,1.2594742365324103,,-1.747625998375503,,,,,
1971-09-30,0.0192325391628615,0.08578638331968721,,-0.6935291557374146,-0.2393150312738327,,-0.42860413542744136,0.11563031798378051,0.07083465071518559,,,,0.0949949951684679,,0.5202785736191538,0.018481427795821348,0.6262396458104779,,,1.6754449103877607,,1.4071443650321056,0.40892756876662273,,-2.2058872217815573,,,,,
1971-10-31,0.1200770558224259,0.19086491917032092,,0.07981265891615417,0.04567165311424892,,-0.21857229341724133,0.6131733702557692,0.17137977645288474,,,,0.7173273490700345,,0.7711138306240538,0.41934556329840184,0.9079466972572647,,,1.207363314128881,,1.4817989877612987,0.8008256621757726,,-1.8384764738304156,,,,,
1971-11-30,0.18774585066126032,0.19984151471496495,,0.38940290627517393,0.24565780509562882,,-0.0785510654104411,0.7788815693303774,0.20693038416709916,,,,0.9536213557443806,-0.12293097540372024,0.9207108187467432,0.6069399988517442,1.7784827325912087,,,1.6056069949595024,,1.3811935467133136,1.0908209247801757,,-1.4098807117973937,,,,,
1971-12-31,0.1755280557345394,0.19079956780267615,,-0.016459753451720967,0.16527870819281482,,0.06147016259635851,1.1102979674795936,0.3907394421563292,,,,0.696357378661242,,0.9420995403076645,0.7525385861827134,1.208056578511935,,,0.8113287405319778,,0.8669197400834061,0.7844196730897329,,-1.3459897265767573,,,,,
1972-01-31,0.20664165971009585,0.1764624225804751,,0.16114955346568854,0.32586974372146393,,0.06147016259635914,0.44248146594583554,0.8283945358411933,,,,1.063060176524429,,0.15826964287322828,0.5878840806302085,1.227744544769349,,,1.5068423643192965,,1.5618042838419435,0.5145606110776485,,-1.1255031893447573,,,,,
1972-02-29,0.20466111533288972,0.15775869869703427,,0.39167305434192257,0.4919871115654271,,0.13148077659975896,1.10445435340642,0.9894998557606228,,,,1.3413632628973697,0.6646279807157217,0.34055089928210586,0.7776076625006383,0.8087565771440596,,,1.523563024009378,,1.60040356343051,0.6189127353331644,,-0.7411550664880664,,,,,
1972-03-31,0.2366391924454205,0.1886581008167829,,0.6336372294867542,0.642603372131846,,0.13148077659975896,0.9370954277433116,1.084064979060293,,,,1.5289708120295036,,0.3741310393992604,0.9341394551087551,1.1711363632707408,,,0.764539647701436,,0.9109444136931482,-0.4262705031013637,,-0.42856528938506283,,,,,
1972-04-30,0.24506075863371432,0.1698356446441172,,0.7413313208129726,0.6655008115085599,,0.13148077659975896,0.9346223579343343,1.2433712304496392,,,,1.6320678423329456,,0.27827325614840914,0.954062086745201,1.205711776914376,,,0.8950408871530642,,0.5014221168505438,0.03725210315362588,,-0.2187523049781574,,,,,
1972-05-31,0.2624123211832297,0.1684070625805192,,0.7679537763574201,0.7211027868452656,,0.13148077659975896,0.7685248068882071,1.1929212946271186,,,,1.5156091569415342,0.3583550533359385,0.40423774437067206,0.9585607188544846,1.2383187213869893,,,0.0981163233299035,,0.279732155409429,0.3459917949725839,,-0.05940067125139376,,,,,
